Чизай Кагор Закарпатский,крепленое,Закарпатская область,Чизай, Украина, 0,75 л, сладкое, 16,00%
Maison Bouey Lettres de France Rouge Sec,тихое,unknown,Maison Bouey, Франция, 0,75 л, сухое, 12,00%
Maison Bouey Lettres de France Blanc Sec,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 11,0%
Maison Bouey Lettres de France Blanc Moelleux,тихое,Бордо,Maison Bouey, Франция, 0,75 л, полусладкое, 10,50%
Maison Bouey Lettres de France Rouge Moelleux,тихое,Бордо,Maison Bouey, Франция, 0,75 л, полусладкое, 11,50%
Covinca Vina Oria Garnacha,тихое,Арагон,Covinca, Испания, 0,75 л, сухое, 13,00%
Covinca Marques de Somaya Garnacha,тихое,Лонгарес,Covinca, Испания, 0,75 л, сухое, 13,00%
Felix Solis Soliera Rosado Tempranillo,тихое,Кастилия-Ла Манча,Felix Solis Avantis, Испания, 0,75 л, сухое, 11,00%
Castelnuovo Vino Rosso,тихое,Венето,Castelnuovo, Италия, 0,75 л, полусладкое, 11,00%
Castelnuovo Vino Bianco,тихое,Венето,Castelnuovo, Италия, 0,75 л, полусладкое, 11,00%
Schenk Boccantino Catarratto Pinot Grigio,тихое,Сицилия,Schenk Italia, Италия, 0,75 л, сухое, 12,00%
Aves del Sur Sauvignon Blanc,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 12,00%
Aves del Sur Merlot Rose,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, полусухое, 13,0%
Aves del Sur Merlot,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 12,5%
Cantina Castelnuovo del Garda Chardonnay,тихое,Венето,Castelnuovo, Италия, 0,75 л, сухое, 12,00%
Cavicchioli Lambrusco Rosato dell'Emilia IGT Dolce,игристое,Емилия-Романия,Cavicchioli, Италия, 0,75 л, полусладкое, 7,50%
Cavicchioli Lambrusco Bianco dell'Emilia IGT Dolce,игристое,Емилия-Романия,Cavicchioli, Италия, 0,75 л, полусладкое, 7,50%
«Lettres de France» Cabernet Sauvignon Pays d'Oc Rouge,тихое,Лангедок-Руссильон,Maison Bouey, Франция, 0,75 л, сухое, 13,00%
Filipetti Vermouth Bianco Torino,вермут,Пьемонт,Valsa Nuovo Perlino, Италия, 1 л, сладкое, 14,80%
Cantina Castelnuovo del Garda Soave Castelnuovo,тихое,Венето,Castelnuovo, Италия, 0,75 л, сухое, 11,50%
Cantina Castelnuovo del Garda Bardolino Chiaretto Castelnuovo,тихое,Венето,Castelnuovo, Италия, 0,75 л, сухое, 12,00%
Cantina Castelnuovo del Garda Bardolino Castelnuovo,тихое,Венето,Castelnuovo, Италия, 0,75 л, сухое, 11,50%
«Manon» Tempranillo,тихое,Кастилия и Леон,Avanteselecta, Испания, 0,75 л, сухое, 14,00%
Cantina Castelnuovo del Garda Pinot Grigio Castelnuovo,тихое,Венето,Castelnuovo, Италия, 0,75 л, сухое, 12,00%
G7 Sauvignon Blanc,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 12,00%
«Lavinia» Macabeo - Garnacha,тихое,Каталония,Masia Vallformosa, Испания, 0,75 л, сухое, 11,50%
Vallformosa Lavina Tempranillo - Merlot,тихое,Каталония,Masia Vallformosa, Испания, 0,75 л, сухое, 13,50%
